coverageDirectEffect,coverageMediatorEffect,coverageMainEffect,coverageIndirectEffect,coverageMediatedProportion,aboveIndirectEffect,belowIndirectEffect,biasDirectEffect,biasMediatorEffect,biasMainEffect,biasIndirectEffect,biasMediatedProportion,mseDirectEffect,msesMediatorEffect,mseMainEffect,mseIndirectEffect,mseMediatedProportion,indirectType1Error,indirectType2Error,nonEstimableFraction,ps,mrs,psAdjustment,mrsAdjustment,mediatorType,sampleSize,sampling,bootstrapType,dropUninformativeStrata,n,nX,hCensor,aIntercept,confoundingAySd,confoundingmYSd,confoundingAymSd,mIntercept,mA,yIntercept,yA,yM
0.9543429844097996,0.963302752293578,0.9521158129175946,0.9031180400890868,0.9309576837416481,0.09688195991091314,0,0.6164729420639309,0.5391710345670269,0.6007447400879722,-0.015728201975958554,9161986.899613021,18.76164726748546,13.139217722065348,13.20842170439656,3.463279696341927,75308919420341340,NA,0.9966592427616926,0.102,fit,fit,matching,model,time-to-event,1000,strata,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.9530201342281879,0.9644087256027555,0.9519015659955258,0.9642058165548099,0.9742729306487695,0.03355704697986577,0.0022371364653243847,0.4505036284995462,0.3317398289959741,0.39327474243659055,-0.05722888606295561,1339281.4138820576,16.98040274760675,16.292500197643175,16.341588511056933,0.8788314181138244,1503398967304226.8,NA,0.9765100671140939,0.106,fit,fit,matching,model,time-to-event,1000,person,percentile,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.9530201342281879,0.9644087256027555,0.9519015659955258,0.9507829977628636,0.941834451901566,0.049217002237136466,0,0.4505036284995462,0.3317398289959741,0.39327474243659055,-0.05722888606295561,1339281.4138820576,16.98040274760675,16.292500197643175,16.341588511056933,0.8788314181138244,1503398967304226.8,NA,0.9776286353467561,0.106,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.9530201342281879,0.9644087256027555,0.9519015659955258,0.9272930648769575,0.8657718120805369,0.07270693512304251,0,0.4505036284995462,0.3317398289959741,0.39327474243659055,-0.05722888606295561,1339281.4138820576,16.98040274760675,16.292500197643175,16.341588511056933,0.8788314181138244,1503398967304226.8,NA,0.9720357941834452,0.106,fit,fit,matching,model,time-to-event,1000,person,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.9530201342281879,0.9644087256027555,0.9519015659955258,0.9507829977628636,0.959731543624161,0.049217002237136466,0,0.4505036284995462,0.3317398289959741,0.39327474243659055,-0.05722888606295561,1339281.4138820576,16.98040274760675,16.292500197643175,16.341588511056933,0.8788314181138244,1503398967304226.8,NA,1,0.106,fit,fit,matching,model,time-to-event,1000,person,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.934934934934935,0.9607645875251509,0.9469469469469469,0.8908908908908909,0.9409409409409409,0.1061061061061061,0.003003003003003003,0.27003321531608127,-0.042320031752046385,0.005974427822869529,-0.2640113639935645,38012070464486116e100,76.99940412564315,0.061313363849602134,0.05989247729562971,75.81389138121139,14434725834960603e220,NA,0.8308308308308309,0.001,fit,fit,matching,model,time-to-event,1000,strata,percentile,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.934934934934935,0.9607645875251509,0.9469469469469469,0.8958958958958959,0.92992992992993,0.1011011011011011,0.003003003003003003,0.27003321531608127,-0.042320031752046385,0.005974427822869529,-0.2640113639935645,38012070464486116e100,76.99940412564315,0.061313363849602134,0.05989247729562971,75.81389138121139,14434725834960603e220,NA,0.8438438438438438,0.001,fit,fit,matching,model,time-to-event,1000,strata,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.934934934934935,0.9607645875251509,0.9469469469469469,0.8888888888888888,0.9129129129129129,0.1091091091091091,0.002002002002002002,0.27003321531608127,-0.042320031752046385,0.005974427822869529,-0.2640113639935645,38012070464486116e100,76.99940412564315,0.061313363849602134,0.05989247729562971,75.81389138121139,14434725834960603e220,NA,0.8518518518518519,0.001,fit,fit,matching,model,time-to-event,1000,strata,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.934934934934935,0.9607645875251509,0.9469469469469469,0.8198198198198198,0.9069069069069069,0.17917917917917917,0.001001001001001001,0.27003321531608127,-0.042320031752046385,0.005974427822869529,-0.2640113639935645,38012070464486116e100,76.99940412564315,0.061313363849602134,0.05989247729562971,75.81389138121139,14434725834960603e220,NA,0.990990990990991,0.001,fit,fit,matching,model,time-to-event,1000,strata,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.9348697394789579,0.9607250755287009,0.9478957915831663,0.9458917835671342,0.969939879759519,0.05410821643286573,0,-0.007095215475347521,-0.043755676712137564,0.004516886058832982,0.01165957255236444,0.004766411937049099,0.06236085571499894,0.05774064129376847,0.05611697886961271,0.0033961961732105134,0.04582198965569581,NA,0.9268537074148296,0.002,fit,fit,matching,model,time-to-event,1000,person,percentile,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
